6호선,마포구청,0,37.563515,126.903343
6호선,망원,3,37.556094,126.910052
6호선,상수,3,37.547716,126.922852
6호선,이태원,3,37.534488,126.994302
6호선,한강진,3,37.539631,127.001725
6호선,버티고개,1,37.548013,127.007055
6호선,창신,1,37.579661,127.015241
6호선,돌곶이,100,37.610537,127.056431
7호선,장암,3,37.700109,127.053196
7호선,수락산,3,37.677850,127.055315
7호선,마들,0,37.664940,127.057675
7호선,중계,100,37.644583,127.064303
7호선,하계,0,37.636352,127.067990
7호선,먹골,3,37.610637,127.077725
7호선,중화,4,37.602545,127.079264
7호선,면목,2,37.588579,127.087503
7호선,사가정,3,37.580894,127.088478
7호선,용마산,3,37.573647,127.086727
7호선,중곡,3,37.565923,127.084320
7호선,뚝섬유원지,1,37.531540,127.066704
7호선,청담,1,37.519365,127.053350
7호선,학동,3,37.514229,127.031656
7호선,논현,3,37.511093,127.021415
7호선,반포,3,37.508178,127.011727
7호선,내방,1,37.487618,126.993513
7호선,남성,4,37.484596,126.971251
7호선,장승배기,0,37.504898,126.939150
7호선,신대방삼거리,3,37.499701,126.928276
7호선,보라매,3,37.499872,126.920428
7호선,신풍,3,37.500080,126.909930
7호선,남구로,1,37.486056,126.887249
7호선,철산,0,37.476050,126.867911
7호선,광명사거리,3,37.479252,126.854876
7호선,천왕,100,37.486637,126.838713
7호선,까치울,0,37.506207,126.810939
7호선,부천종합운동장,1,37.505380,126.797337
7호선,춘의,2,37.503663,126.787036
7호선,신중동,2,37.503048,126.775960
7호선,부천시청,0,37.504631,126.763538
7호선,상동,3,37.505781,126.753083
7호선,삼산체육관,3,37.506411,126.742153
7호선,굴포천,0,37.506997,126.731280
8호선,암사,0,37.550210,127.127562
8호선,강동구청,0,37.530341,127.120508
8호선,석촌,0,37.505431,127.106979
8호선,송파,100,37.499703,127.112183
8호선,문정,0,37.485855,127.122500
8호선,장지,4,37.478703,127.126191
8호선,산성,4,37.457122,127.149908
8호선,단대오거리,4,37.445210,127.156866
8호선,신흥,4,37.440918,127.147564
8호선,수진,2,37.437428,127.140722
9호선,개화,0,37.578608,126.798153
9호선,공항시장,3,37.563726,126.810678
9호선,신방화,3,37.567532,126.816601
9호선,마곡나루,3,37.567336,126.829497
9호선,양천향교,0,37.568381,126.841333
9호선,가양,0,37.561391,126.854456
9호선,증미,0,37.557402,126.861939
9호선,등촌,3,37.550632,126.865689
9호선,염창,4,37.546936,126.874916
9호선,신목동,0,37.544277,126.883080
9호선,선유도,3,37.538020,126.893525
9호선,국회의사당,1,37.528105,126.917874
9호선,샛강,3,37.517274,126.928422
9호선,노들,0,37.512887,126.953222
9호선,구반포,0,37.501364,126.987332
9호선,신반포,0,37.503415,126.995925
9호선,사평,0,37.504206,127.015259
9호선,신논현,0,37.504598,127.025060
우이신설선,솔밭공원,0,,
우이신설선,삼양,100,,
우이신설선,삼양사거리,4,,
우이신설선,솔샘,2,,
우이신설선,북한산보국문,0,,
우이신설선,정릉,0,,
